Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Reptile,"Crime, Drama, Mystery",6.9,31993, ,2023, ,English,
The Creator,"Action, Adventure, Drama",7.2,33444,"63,857,162",2023,"80,000,000",English,
Saw X,"Horror, Mystery, Thriller",7.1,16361,"58,203,398",2023,"13,000,000",English,
Nowhere,"Drama, Thriller",6.4,14078, ,2023, ,Spanish,
No One Will Save You,"Horror, Sci-Fi, Thriller",6.3,35639, ,2023, ,English,
Haunted Mansion,"Comedy, Drama, Family",6.1,21154,"115,657,451",2023,"150,000,000","English, French, Spanish",
The Equalizer 3,"Action, Crime, Thriller",7,40908,"167,825,580",2023,"70,000,000","English, Italian",
Killers of the Flower Moon,"Crime, Drama, History",9,2428, ,2023,"200,000,000","English, Sioux",
Barbie,"Adventure, Comedy, Fantasy",7.1,352742,"1,437,746,229",2023,"100,000,000","English, Spanish",
The Nun II,"Horror, Mystery, Thriller",5.7,30299,"249,419,329",2023,"38,000,000","English, French, Italian, Romanian",
A Haunting in Venice,"Crime, Drama, Horror",6.8,29456,"103,475,823",2023,"60,000,000",English,
Priscilla,"Biography, Drama, Music",6.6,654, ,2023, ,English,
Talk to Me,"Horror, Thriller",7.2,75350,"88,614,724",2022,"4,500,000","English, Greek",
Sound of Freedom,"Biography, Crime, Drama",7.8,69047,"234,435,634",2023,"14,600,000","English, Spanish",
Oppenheimer,"Biography, Drama, History",8.5,457671,"939,312,345",2023,"100,000,000","English, German, Italian",
Fair Play,"Drama, Mystery, Thriller",6.5,9319, ,2023, ,English,
Meg 2: The Trench,"Action, Adventure, Horror",5.1,54840,"394,994,503",2023,"129,000,000",English,
Totally Killer,"Comedy, Horror",6.7,11422, ,2023, ,English,
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller",7.9,149321,"567,535,383",2023,"291,000,000","English, French, Italian, Russian",
Gran Turismo,"Action, Adventure, Drama",7.2,42030,"117,223,238",2023,"60,000,000",English,
Elemental,"Animation, Adventure, Comedy",7,82026,"492,295,642",2023,"200,000,000",English,
Expend4bles,"Action, Adventure, Thriller",5.2,9523,"28,493,933",2023,"100,000,000",English,
After Everything,"Drama, Romance",4.7,2470,"9,044,206",2023, ,"English, Portuguese",
Flora and Son,"Drama, Music",7.1,4776,"110,257",2023, ,English,
Jawan,"Action, Thriller",7.5,61592,"27,759,040",2023, ,"Hindi, English",
X,"Horror, Mystery, Thriller",6.6,147062,"14,740,889",2022,"1,000,000",English,
PAW Patrol: The Mighty Movie,"Animation, Action, Adventure",6,1514,"89,866,189",2023,"30,000,000",English,
Dumb Money,"Biography, Comedy, Drama",7.1,6356,"13,048,907",2023,"30,000,000",English,
Blue Beetle,"Action, Adventure, Sci-Fi",6.1,52057,"128,608,057",2023,"104,000,000",English,
The Blind,Drama,6.6,820,"11,405,418",2023, ,English,
57 Seconds,"Sci-Fi, Thriller",5.3,1701,"30,281",2023, ,English,
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure",7.3,43562,"179,198,391",2023,"70,000,000",English,
The Little Mermaid,"Adventure, Family, Fantasy",7.2,137086,"569,626,289",2023,"250,000,000",English,
Forgotten Love,"Drama, Romance",7.6,3121, ,2023, ,Polish,
No Hard Feelings,"Comedy, Romance",6.4,81220,"87,133,217",2023,"45,000,000",English,
Love at First Sight,"Drama, Romance",6.9,18914, ,2023, ,English,
Poor Things,"Romance, Sci-Fi",8.3,1606, ,2023, ,English,
John Wick: Chapter 4,"Action, Crime, Thriller",7.8,284275,"431,767,070",2023,"100,000,000","English, French, Japanese, Russian, Spanish, Cantonese, German, Latin",
May December,Drama,7.4,1073,"6,561",2023, ,English,
The Covenant,"Action, Drama, Thriller",7.5,128875,"21,632,392",2023,"55,000,000","English, Dari",
Love Is in the Air,"Comedy, Drama, Romance",5.6,2079, ,2023, ,English,
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",8.7,274352,"690,001,944",2023,"150,000,000",English,
A Million Miles Away,"Biography, Drama",7.4,12449, ,2023, ,English,
Bottoms,Comedy,7,14326,"11,916,892",2023, ,English,
Fukrey 3,"Comedy, Crime, Drama",7.8,20159,"516,912",2023,0.6,Hindi,
Past Lives,"Drama, Romance",8,30868,"14,966,482",2023, ,"English, Korean",
Asteroid City,"Comedy, Drama, Romance",6.6,79003,"53,208,744",2023,"25,000,000",English,
